NAME,AVERAGE DRIVING DISTANCE
,281.75
 Polly Mack,
,277.264
 Xiaowen Yin,
,275.736
 Bianca Pagdanganan,
,274.179
 Yan Liu,
,273.653
 Maria Fassi,
,272.794
 Bailey Tardy,
,272.685
 Yuka Saso,
,272.463
 Emily Kristine Pedersen,
,272.333
 Madelene Sagstrom,
,272.291
 Mel Reid,
,271.419
 Lexi Thompson,
,271.235
 Yealimi Noh,
,269.604
 Pauline Roussin-Bouchard,
,268.978
 Nelly Korda,
,268.534
 Linn Grant,
,268.031
 Perrine Delacour,
,267.816
 A Lim Kim,
,267.387
 Carlota Ciganda,
,267.36
 Frida Kinhult,
,267.23
 Alison Lee,
,266.347
 Atthaya Thitikul,
,265.919
 Luna Sobron Galmes,
,265.694
 Manon De Roey,
,265.475
 Brooke M. Henderson,
,265.474
 Weiwei Zhang,
,265.292
 Nanna Koerstz Madsen,
,264.794
 Riley Rennell,
,264.504
 Sei Young Kim,
,264.48
 Stephanie Kyriacou,
,264.375
 Charley Hull,
,264.058
 Ruoning Yin,
,264.057
 Ellinor Sudow,
,263.944
 Minjee Lee,
,263.463
 Yu Liu,
,263.439
 Minami Katsu,
,263.443
 Amanda Doherty,
,263.431
 Lauren Hartlage,
,263.368
 Ally Ewing,
,263.314
 Jennifer Kupcho,
,263.081
 Peiyun Chien,
,263.022
 Ana Belac,
,262.677
 Gaby Lopez,
,262.325
 Angel Yin,
,262.196
 Patty Tavatanakit,
,262.073
 Daniela Darquea,
,261.705
 Linnea Strom,
,261.637
 Chanettee Wannasaen,
,261.633
 Dewi Weber,
,261.534
 Sofia Garcia,
,261.488
 Mariajo Uribe,
,261.473
 Maja Stark,
,261.462
 Georgia Hall,
,261.26
 Lindy Duncan,
,261.257
 Xiyu Lin,
,261.014
 Brittany Lincicome,
,260.538
 Ruixin Liu,
,259.953
 Haeran Ryu,
,259.44
 Mi Hyang Lee,
,259.361
 Amy Yang,
,259.281
 Kiira Riihijarvi,
,259.216
 Esther Henseleit,
,258.883
 Lilia Vu,
,258.795
 Alexa Pano,
,258.718
 Hye-Jin Choi,
,258.577
 Kum-Kang Park,
,258.577
 Valery Plata,
,258.581
 Soo Bin Joo,
,258.55
 Stephanie Meadow,
,258.416
 Pernilla Lindberg,
,258.391
 Hannah Green,
,258.333
 Hyo Joon Jang,
,258.258
 Pavarisa Yoktuan,
,258.241
 Samantha Wagner,
,257.817
 Nasa Hataoka,
,257.66
 Ryann O'Toole,
,257.574
 Jenny Shin,
,257.317
 Sarah Schmelzel,
,257.203
 Linnea Johansson,
,256.984
 Lucy Li,
,256.969
 Wichanee Meechai,
,256.762
 Ines Laklalech,
,256.75
 Jeongeun Lee5,
,256.741
 Jin Young Ko,
,256.36
 Morgane Metraux,
,256.299
 Gina Kim,
,256.268
 Ariya Jutanugarn,
,255.861
 Sung Hyun Park,
,255.722
 Jodi Ewart Shadoff,
,255.647
 Wei-Ling Hsu,
,255.586
 Megan Khang,
,255.553
 Pajaree Anannarukarn,
,255.528
 Matilda Castren,
,255.403
 Albane Valenzuela,
,255.378
 Sophia Schubert,
,255.19
 Jaravee Boonchant,
,255.114
 Elizabeth Szokol,
,254.946
 Aline Krauter,
,254.78
 Paula Reto,
,254.681
 Azahara Munoz,
,254.363
 Karis Davidson,
,254.255
 Annie Park,
,254.133
 Grace Kim,
,254.042
 Pornanong Phatlum,
,253.82
 Gabriella Then,
,253.385
 Rose Zhang,
,252.98
 Celine Boutier,
,252.872
 Dani Holmqvist,
,252.712
 Eun-Hee Ji,
,252.426
 Lauren Stephenson,
,252.424
 Kelly Tan,
,252.389
 Narin An,
,252.161
 Moriya Jutanugarn,
,252.157
 Arpichaya Yubol,
,251.711
 Lydia Ko,
,251.396
 Lauren Coughlin,
,251.085
 Allisen Corpuz,
,250.736
 Jeongeun Lee6,
,250.732
 Yu-Sang Hou,
,249.527
 Olivia Cowan,
,249.5
 Jing Yan,
,249.359
 Mina Harigae,
,249.31
 Ashleigh Buhai,
,249.296
 Min Lee,
,249.096
 Jennifer Song,
,248.981
 Sarah Kemp,
,248.872
 Hyo Joo Kim,
,248.683
 Celine Borge,
,248.586
 Maddie Szeryk,
,248.523
 Jennifer Chang,
,248.418
 Leona Maguire,
,248.31
 Allison Emrey,
,248.296
 Hinako Shibuno,
,247.963
 Jasmine Suwannapura,
,247.953
 Lindsey Weaver-Wright,
,247.825
 Anna Nordqvist,
,247.327
 Magdalena Simmermacher,
,247.114
 Caroline Inglis,
,247.016
 Marina Alex,
,246.207
 Cheyenne Knight,
,245.897
 Su Oh,
,245.542
 Muni He,
,245.443
 Ayaka Furue,
,245.317
 Emma Talley,
,245.185
 In Kyung Kim,
,245.081
 Haeji Kang,
,244.909
 Haru Moon,
,244.407
 Marissa Steen,
,244.321
 Gemma Dryburgh,
,244.31
 Aditi Ashok,
,244.143
 Paula Creamer,
,244.068
 Chella Choi,
,243.862
 Bronte Law,
,243.615
 Yuna Nishimura,
,243.471
 Christina Kim,
,243.017
 Charlotte Thomas,
,242.877
 Stacy Lewis,
,242.684
 Danielle Kang,
,241.217
 So Yeon Ryu,
,241.008
 In Gee Chun,
,240.385
 Andrea Lee,
,239.655
 Brittany Altomare,
,238.775
 Lizette Salas,
,237.654
 Yaeeun Hong,
,236.767
 Dana Fall,
,235.934
 Dottie Ardina,
