course,par,yardage
Albany GC,72,7309
Arnold Palmer's Bay Hill Club & Lodge,72,7351
Aronimink GC,70,7036
Augusta National Golf Club,72,7470
Austin Country Club,71,6899
Baltusrol GC,70,7282
Bellerive CC,70,7248
Bethpage Black,71,7355
Caves Valley Golf Club,72,7424
Club de Golf Chapultepec,71,7287
Colonial Country Club,70,7005
Congaree Golf Club,71,7364
Congressional CC (Blue),71,7416
Conway Farms GC,71,6987
Crooked Stick GC,72,7474
Detroit Golf Club,72,7324
Eagle Point Golf Club,72,7291
East Lake Golf Club,70,7280
Firestone CC (South),70,7337
Glen Abbey GC,72,7197
Glen Oaks Club,70,7246
Golf Club of Houston,72,7319
Hamilton Golf &amp; Country Club,70,6925
Harbour Town Golf Links,71,6971
Innisbrook Resort (Copperhead Course),71,7080
Keene Trace Golf Club (Champion Trace),72,7148
Le Golf National,71,7162
Liberty National Golf Club,71,7201
Medinah Country Club (No. 3),72,7470
Memorial Park Golf Course,70,7099
Muirfield Village Golf Club,72,7358
Muirfield Village Golf Club (Workday),72,7311
Oak Hill Country Club,70,7339
Oakdale Golf &amp; Country Club,72,7231
Ocean Course at Kiawah Island,72,7671
Olympia Fields Country Club (North Course),70,7283
PGA National Resort (The Champion - Par 71),71,7066
PGA National Resort (The Champion),70,7020
PGA West (Palmer),72,6844
Pebble Beach Golf Links,72,6888
Pebble Beach Golf Links (U.S. Open),71,7003
Pete Dye Stadium Course,72,7149
Pinehurst Resort &amp; Country Club (Course No. 2),70,7513
Plainfield CC,70,6829
Plantation Course at Kapalua,73,7360
Quail Hollow Club,71,7418
Quail Hollow Club (PGA Championship),71,7488
RTJ Trail (Grand National),71,7095
Ridgewood CC,71,7290
Robert Trent Jones GC,71,7265
Royal Liverpool,71,7273
Royal Troon,71,7323
Sea Island Golf Club (Seaside),70,6878
Sedgefield Country Club,70,6958
Shadow Creek Golf Course,72,7361
Sherwood Country Club,72,6986
Silverado Resort and Spa (North Course),72,7092
Southern Hills Country Club,70,7418
St. Andrews Links (Old Course),72,7247
St. George's G&amp;CC,70,7006
TPC Boston,71,7144
TPC Craig Ranch,72,7250
TPC Craig Ranch (Par 71),71,7268
TPC Deere Run,71,7125
TPC Four Seasons Resort,70,6978
TPC Harding Park,70,7180
TPC Louisiana,72,7293
TPC Potomac at Avenel Farm,70,7069
TPC River Highlands,70,6799
TPC San Antonio (Oaks Course),72,7324
TPC Sawgrass (THE PLAYERS Stadium Course),72,7122
TPC Scottsdale (Stadium Course),71,7274
TPC Southwind,70,7088
TPC Summerlin,71,7073
TPC Twin Cities,71,7216
The Concession Golf Club,72,7327
The Country Club of Jackson,72,7209
The Dunes Golf and Beach Club,71,7121
The Los Angeles Country Club (North Course),70,7335
The Old White TPC,70,7113
The Renaissance Club,70,7093
The Riviera Country Club,71,7245
The Summit Club,72,7359
Torrey Pines Golf Course (South Course),72,7584
Torrey Pines South (U.S. Open),71,7635
Trinity Forest Golf Club,71,7120
Trump National Doral,72,7469
Valhalla Golf Club,71,7397
Vidanta Vallarta,71,7325
Waialae Country Club,70,7023
Whistling Straits,72,7313
Wilmington Country Club,71,7424
Winged Foot GC,70,7392
