course,Course,par,yardage
Albany GC, (Bahamas),72,7309
Arnold Palmer's Bay Hill Club & Lodge,32819,72,7351
Aronimink GC,19010,70,7036
Augusta National Golf Club,30904,72,7470
Austin Country Club,78746,71,6899
Baltusrol GC,7081,70,7282
Bellerive CC,63141,70,7248
Bethpage Black,11735,71,7355
Caves Valley Golf Club,21152,72,7424
Club de Golf Chapultepec, 53950 (Mexico),71,7287
Colonial Country Club,76107,70,7005
Congaree Golf Club,29927,71,7364
Congressional CC (Blue),20817,71,7416
Conway Farms GC,60045,71,6987
Crooked Stick GC,46032,72,7474
Detroit Golf Club,48203,72,7324
Eagle Point Golf Club,28411,72,7291
East Lake Golf Club,30317,70,7280
Firestone CC (South),44319,70,7337
Glen Abbey GC, L6M 4H1 (Canada),72,7197
Glen Oaks Club,11577,70,7246
Golf Club of Houston,77396,72,7319
Hamilton Golf &amp; Country Club, L9G 2N5 (Canada),70,6925
Harbour Town Golf Links,29928,71,6971
Innisbrook Resort (Copperhead Course),34684,71,7080
Keene Trace Golf Club (Champion Trace),40356,72,7148
Le Golf National, 78280 (France),71,7162
Liberty National Golf Club,7305,71,7201
Medinah Country Club (No. 3),60157,72,7470
Memorial Park Golf Course,77007,70,7099
Muirfield Village Golf Club,43065,72,7358
Muirfield Village Golf Club (Workday),43065,72,7311
Oak Hill Country Club,14618,70,7339
Oakdale Golf &amp; Country Club,95361,72,7231
Ocean Course at Kiawah Island,29455,72,7671
Olympia Fields Country Club (North Course),60461,70,7283
PGA National Resort (The Champion - Par 71),33418,71,7066
PGA National Resort (The Champion),33418,70,7020
PGA West (Palmer),92253,72,6844
Pebble Beach Golf Links,93953,72,6888
Pebble Beach Golf Links (U.S. Open),93953,71,7003
Pete Dye Stadium Course,92201,72,7149
Pinehurst Resort &amp; Country Club (Course No. 2),28374,70,7513
Plainfield CC,7060,70,6829
Plantation Course at Kapalua,96761,73,7360
Quail Hollow Club,28210,71,7418
Quail Hollow Club (PGA Championship),28210,71,7488
RTJ Trail (Grand National),36801,71,7095
Ridgewood CC,7450,71,7290
Robert Trent Jones GC,20169,71,7265
Royal Liverpool, CH47 4AL (UK),71,7273
Royal Troon, KA10 6EP (UK),71,7323
Sea Island Golf Club (Seaside),31561,70,6878
Sedgefield Country Club,27407,70,6958
Shadow Creek Golf Course,89081,72,7361
Sherwood Country Club,91361,72,6986
Silverado Resort and Spa (North Course),94558,72,7092
Southern Hills Country Club,74136,70,7418
St. Andrews Links (Old Course), KY16 9SF (UK),72,7247
St. George's G&amp;CC, M9A 3J3 (Canada),70,7006
TPC Boston,2093,71,7144
TPC Craig Ranch,75070,72,7250
TPC Craig Ranch (Par 71),75070,71,7268
TPC Deere Run,61265,71,7125
TPC Four Seasons Resort,75234,70,6978
TPC Harding Park,94132,70,7180
TPC Louisiana,70070,72,7293
TPC Potomac at Avenel Farm,20854,70,7069
TPC River Highlands,6067,70,6799
TPC San Antonio (Oaks Course),78261,72,7324
TPC Sawgrass (THE PLAYERS Stadium Course),32082,72,7122
TPC Scottsdale (Stadium Course),85255,71,7274
TPC Southwind,38125,70,7088
TPC Summerlin,89134,71,7073
TPC Twin Cities,55374,71,7216
The Concession Golf Club,34202,72,7327
The Country Club of Jackson,39211,72,7209
The Dunes Golf and Beach Club,29572,71,7121
The Los Angeles Country Club (North Course),90024,70,7335
The Old White TPC,24986,70,7113
The Renaissance Club, EH39 5HS (UK),70,7093
The Riviera Country Club,90272,71,7245
The Summit Club,89135,72,7359
Torrey Pines Golf Course (South Course),92037,72,7584
Torrey Pines South (U.S. Open),92037,71,7635
Trinity Forest Golf Club,75217,71,7120
Trump National Doral,33178,72,7469
Valhalla Golf Club,40245,71,7397
Vidanta Vallarta, 63735 (Mexico),71,7325
Waialae Country Club,96816,70,7023
Whistling Straits,53083,72,7313
Wilmington Country Club,19803,71,7424
Winged Foot GC,10543,70,7392
